name,address,img,website,phone_number,reviews_count,reviews_average,latitude,longitude
"The Woods, Leeds ","5, Stainbeck Corner, Chapel Allerton, Leeds LS7 3PG, United Kingdom",,thewoods-leeds.com,+44 113 307 0111,,4.3,53.8308088,-1.5523705
The Mustard Pot ,"20 Stainbeck Ln, Chapel Allerton, Leeds LS7 3QY, United Kingdom",,themustardpot.uk,+44 113 269 5699,,4.3,53.8308088,-1.5523705
Regent ,"15-17 Regent St, Chapel Allerton, Leeds LS7 4PE, United Kingdom",,greeneking.co.uk,+44 113 293 9395,,4.4,53.8308088,-1.5523705
Further North - North Bar ,"194 Harrogate Rd, Chapel Allerton, Leeds LS7 4NZ, United Kingdom",,northbar.com,+44 113 517 7491,,4.6,53.8308088,-1.5523705
The Three Hulats ,"13 Harrogate Rd, Chapel Allerton, Leeds LS7 3NB, United Kingdom",,jdwetherspoon.com,+44 113 262 0524,,4.0,53.8308088,-1.5523705
Beck and Call ,"Stainbeck Rd, Chapel Allerton, Leeds LS7 2NP, United Kingdom",,thebeckandcall.co.uk,+44 113 266 1192,,4.4,53.8320704,-1.5679655
Alley Cats Cafe Bar & Music Emporium ,"38 Harrogate Rd, Chapel Allerton, Leeds LS7 4LA, United Kingdom",,info.northbrewing.com,+44 113 517 7494,,4.6,53.8258958,-1.5522249
Canteen ,"86A Harrogate Rd, Chapel Allerton, Leeds LS7 4LZ, United Kingdom",,,,,4.9,53.8258958,-1.5522249
House of Koko - Chapel Allerton ,"62 Harrogate Rd, Chapel Allerton, Leeds LS7 4LA, United Kingdom",,houseofkoko.com,+44 113 262 1808,,4.6,53.8258958,-1.5522249
The Queens Arms ,"201 Harrogate Rd, Chapel Allerton, Leeds LS7 3PT, United Kingdom",,tobycarvery.co.uk,+44 113 288 8165,,3.7,53.8258958,-1.5522249
Bricklebank's Cafe & Bar ,"14 Stainbeck Ln, Chapel Allerton, Leeds LS7 3QY, United Kingdom",,bricklebanks.com,+44 113 819 4069,,4.6,53.8258958,-1.5522249
Deliziosa ,"138 Harrogate Rd, Chapel Allerton, Leeds LS7 4NZ, United Kingdom",,deliziosa.co.uk,+44 113 513 0458,,4.7,53.8258958,-1.5522249
De Baga Chapel Allerton ,"8b Stainbeck Ln, Chapel Allerton, Leeds LS7 3QY, United Kingdom",,debaga.co.uk,+44 113 805 6229,,4.7,53.8258958,-1.5522249
Seven Arts ,"31A Harrogate Rd, Chapel Allerton, Leeds LS7 3PD, United Kingdom",,sevenleeds.co.uk,+44 113 262 6777,,4.5,53.8258958,-1.5522249
MYTHOS Chapel Allerton ,"5 Stainbeck Ln, Chapel Allerton, Leeds LS7 3PJ, United Kingdom",,mythosgreek.co.uk,+44 113 869 7375,,4.8,53.8258958,-1.5522249
Toby Carvery Chapel Allerton ,"201 Harrogate Rd, Chapel Allerton, Leeds LS7 3PT, United Kingdom",,tobycarvery.co.uk,+44 113 288 8165,,4.1,53.8258958,-1.5522249
Sukhothai Chapel Allerton ,"8 Regent St, Chapel Allerton, Leeds LS7 4PE, United Kingdom",,sukhothai.co.uk,+44 113 237 0141,,4.5,53.8258958,-1.5522249
Hern ,"Stainbeck Corner, 5, Leeds LS7 3PG, United Kingdom",,hernrestaurant.com,+44 113 262 5809,,4.9,53.8258958,-1.5522249
The Nags Head ,"20 Town St, Chapel Allerton, Leeds LS7 4NB, United Kingdom",,,+44 113 262 4938,,4.1,53.8258958,-1.5522249
El Bareto ,"120 Gledhow Valley Rd, Chapel Allerton, Leeds LS17 6LX, United Kingdom",,elbareto.com,+44 113 266 6946,,4.5,53.8357226,-1.5564574
